cell,nCounts,nFeatures
R1.08.R2.31.R3.76.P1.39,917,901
R1.08.R2.37.R3.41.P1.40,423,420
R1.08.R2.55.R3.35.P1.40,406,402
R1.08.R2.58.R3.72.P1.40,558,557
R1.08.R2.59.R3.69.P1.39,627,620
R1.08.R2.63.R3.21.P1.39,994,979
R1.08.R2.67.R3.03.P1.40,700,692
R1.08.R2.68.R3.17.P1.40,1332,1312
R1.08.R2.76.R3.61.P1.40,831,819
R1.08.R2.77.R3.20.P1.40,1443,1417
R1.08.R2.78.R3.56.P1.40,645,641
R1.08.R2.84.R3.06.P1.39,623,619
R1.08.R2.85.R3.24.P1.40,435,429
R1.08.R2.86.R3.37.P1.39,623,611
R1.08.R2.92.R3.66.P1.39,1829,1789
R1.08.R2.93.R3.64.P1.39,1237,1208
R1.09.R2.01.R3.64.P1.39,4418,4200
R1.09.R2.01.R3.79.P1.40,1499,1470
R1.09.R2.05.R3.55.P1.40,453,449
R1.09.R2.05.R3.71.P1.40,2316,2215
R1.09.R2.15.R3.35.P1.39,2093,2043
R1.09.R2.19.R3.15.P1.40,635,623
R1.09.R2.23.R3.90.P1.40,602,593
R1.09.R2.25.R3.12.P1.39,791,786
R1.09.R2.29.R3.78.P1.39,452,445
R1.09.R2.31.R3.46.P1.40,749,741
R1.09.R2.40.R3.36.P1.40,886,869
R1.09.R2.43.R3.44.P1.39,3905,3753
R1.09.R2.47.R3.03.P1.40,686,675
R1.09.R2.48.R3.89.P1.40,900,886
R1.09.R2.51.R3.73.P1.40,1731,1709
R1.09.R2.56.R3.66.P1.40,3715,3613
R1.09.R2.65.R3.46.P1.39,2742,2612
R1.09.R2.66.R3.29.P1.39,648,639
R1.09.R2.70.R3.70.P1.40,1582,1562
R1.09.R2.74.R3.76.P1.39,843,835
R1.09.R2.76.R3.45.P1.40,937,912
R1.09.R2.81.R3.59.P1.40,691,681
R1.09.R2.83.R3.91.P1.40,655,645
R1.09.R2.84.R3.45.P1.40,497,494
R1.09.R2.85.R3.10.P1.40,1454,1427
R1.09.R2.86.R3.14.P1.40,868,861
R1.09.R2.87.R3.09.P1.39,947,940
R1.09.R2.92.R3.12.P1.39,1053,1037
R1.09.R2.92.R3.76.P1.40,1601,1582
R1.10.R2.04.R3.96.P1.40,624,611
R1.10.R2.11.R3.15.P1.40,2897,2833
R1.10.R2.19.R3.79.P1.40,868,846
R1.10.R2.21.R3.13.P1.40,3136,3051
R1.10.R2.21.R3.29.P1.40,1914,1865
R1.10.R2.26.R3.89.P1.40,665,659
R1.10.R2.27.R3.89.P1.40,588,576
R1.10.R2.32.R3.39.P1.39,624,619
R1.10.R2.34.R3.51.P1.39,530,524
R1.10.R2.37.R3.21.P1.39,1125,1105
R1.10.R2.39.R3.08.P1.39,1252,1235
R1.10.R2.46.R3.85.P1.39,820,813
R1.10.R2.48.R3.28.P1.39,9611,9083
R1.10.R2.50.R3.49.P1.39,1002,990
R1.10.R2.54.R3.10.P1.39,1034,1023
R1.10.R2.56.R3.11.P1.40,3168,3074
R1.10.R2.60.R3.82.P1.40,783,774
R1.10.R2.61.R3.79.P1.40,832,809
R1.10.R2.62.R3.68.P1.39,606,598
R1.10.R2.63.R3.57.P1.39,771,764
R1.10.R2.67.R3.47.P1.39,1272,1245
R1.10.R2.74.R3.11.P1.40,1297,1262
R1.10.R2.76.R3.65.P1.39,1190,1173
R1.10.R2.79.R3.45.P1.40,1101,1084
R1.10.R2.80.R3.58.P1.40,1009,993
R1.10.R2.89.R3.58.P1.39,496,491
R1.10.R2.89.R3.69.P1.39,650,643
R1.10.R2.94.R3.06.P1.39,1134,1114
R1.11.R2.01.R3.53.P1.40,1807,1745
R1.11.R2.06.R3.38.P1.40,578,572
R1.11.R2.09.R3.06.P1.39,1062,1052
R1.11.R2.09.R3.50.P1.40,626,618
R1.11.R2.12.R3.32.P1.39,1326,1310
R1.11.R2.17.R3.86.P1.39,618,610
R1.11.R2.18.R3.07.P1.40,703,699
R1.11.R2.21.R3.65.P1.40,2720,2657
R1.11.R2.21.R3.84.P1.40,690,669
R1.11.R2.26.R3.44.P1.39,1070,1056
R1.11.R2.28.R3.87.P1.39,1632,1604
R1.11.R2.35.R3.24.P1.39,806,797
R1.11.R2.36.R3.80.P1.40,1836,1795
R1.11.R2.37.R3.50.P1.39,1127,1112
R1.11.R2.42.R3.57.P1.39,1024,1002
R1.11.R2.44.R3.76.P1.40,1663,1636
R1.11.R2.54.R3.40.P1.39,1331,1314
R1.11.R2.54.R3.50.P1.39,784,774
R1.11.R2.61.R3.57.P1.40,557,554
R1.11.R2.62.R3.73.P1.40,1007,977
R1.11.R2.62.R3.77.P1.40,784,776
R1.11.R2.63.R3.03.P1.40,824,804
R1.11.R2.63.R3.04.P1.40,1245,1228
R1.11.R2.65.R3.83.P1.39,2444,2391
R1.11.R2.67.R3.24.P1.40,993,984
R1.11.R2.70.R3.19.P1.39,939,929
R1.11.R2.71.R3.57.P1.40,412,406
R1.11.R2.84.R3.90.P1.39,629,622
R1.11.R2.86.R3.12.P1.40,1103,1089
R1.11.R2.95.R3.10.P1.39,591,586
R1.12.R2.02.R3.76.P1.39,1608,1575
R1.12.R2.02.R3.77.P1.39,1871,1840
R1.12.R2.04.R3.60.P1.40,2128,2068
R1.12.R2.05.R3.06.P1.40,3234,3126
R1.12.R2.05.R3.52.P1.39,1025,1009
R1.12.R2.06.R3.47.P1.40,652,648
R1.12.R2.07.R3.24.P1.39,1157,1139
R1.12.R2.09.R3.65.P1.39,1885,1829
R1.12.R2.18.R3.57.P1.40,381,380
R1.12.R2.24.R3.50.P1.40,420,418
R1.12.R2.27.R3.37.P1.40,611,605
R1.12.R2.28.R3.23.P1.40,494,490
R1.12.R2.34.R3.37.P1.39,594,588
R1.12.R2.36.R3.69.P1.39,995,978
R1.12.R2.43.R3.72.P1.39,1129,1115
R1.12.R2.50.R3.60.P1.39,5042,4814
R1.12.R2.52.R3.08.P1.39,1238,1208
R1.12.R2.55.R3.68.P1.39,441,439
R1.12.R2.63.R3.40.P1.40,1384,1348
R1.12.R2.65.R3.57.P1.40,1712,1676
R1.12.R2.73.R3.52.P1.39,1035,1022
R1.12.R2.78.R3.50.P1.40,1614,1580
R1.12.R2.79.R3.04.P1.39,1275,1254
R1.12.R2.83.R3.64.P1.39,1284,1262
R1.12.R2.84.R3.82.P1.39,757,748
R1.12.R2.88.R3.74.P1.40,740,724
R1.13.R2.04.R3.85.P1.39,1164,1151
R1.13.R2.05.R3.45.P1.39,4552,4368
R1.13.R2.07.R3.69.P1.40,3964,3846
R1.13.R2.09.R3.59.P1.39,1161,1136
R1.13.R2.10.R3.27.P1.39,841,831
R1.13.R2.15.R3.44.P1.39,1656,1634
R1.13.R2.18.R3.02.P1.39,627,625
R1.13.R2.19.R3.86.P1.39,1207,1189
R1.13.R2.21.R3.03.P1.40,5387,5119
R1.13.R2.22.R3.03.P1.39,2497,2411
R1.13.R2.24.R3.95.P1.39,1784,1750
R1.13.R2.25.R3.37.P1.39,899,891
R1.13.R2.25.R3.89.P1.39,1065,1050
R1.13.R2.26.R3.44.P1.39,1080,1060
R1.13.R2.34.R3.08.P1.40,845,834
R1.13.R2.36.R3.08.P1.40,1631,1601
R1.13.R2.36.R3.85.P1.40,892,878
R1.13.R2.41.R3.32.P1.39,808,799
R1.13.R2.44.R3.22.P1.39,756,748
R1.13.R2.56.R3.59.P1.39,8596,7978
R1.13.R2.59.R3.34.P1.39,3459,3339
R1.13.R2.60.R3.04.P1.39,1017,1005
R1.13.R2.63.R3.70.P1.39,372,372
R1.13.R2.71.R3.26.P1.40,900,886
R1.13.R2.72.R3.90.P1.39,760,748
R1.13.R2.73.R3.02.P1.40,3074,2994
R1.13.R2.88.R3.72.P1.40,933,922
R1.13.R2.90.R3.28.P1.39,842,821
R1.13.R2.94.R3.75.P1.39,754,746
R1.14.R2.02.R3.89.P1.39,728,716
R1.14.R2.05.R3.55.P1.39,1139,1125
R1.14.R2.10.R3.48.P1.39,987,953
R1.14.R2.14.R3.06.P1.39,1970,1938
R1.14.R2.15.R3.64.P1.40,2702,2598
R1.14.R2.16.R3.04.P1.39,756,747
R1.14.R2.19.R3.27.P1.39,2124,2062
R1.14.R2.26.R3.41.P1.40,474,472
R1.14.R2.41.R3.85.P1.40,937,918
R1.14.R2.42.R3.42.P1.40,1322,1292
R1.14.R2.43.R3.45.P1.40,1131,1110
R1.14.R2.48.R3.49.P1.40,7431,7031
R1.14.R2.50.R3.75.P1.39,1746,1712
R1.14.R2.53.R3.05.P1.40,1951,1913
R1.14.R2.59.R3.55.P1.40,2336,2264
R1.14.R2.65.R3.26.P1.39,852,845
R1.14.R2.67.R3.67.P1.40,861,853
R1.14.R2.68.R3.95.P1.39,2109,2063
R1.14.R2.85.R3.53.P1.40,897,887
R1.14.R2.91.R3.48.P1.40,722,717
R1.15.R2.03.R3.10.P1.40,846,837
R1.15.R2.06.R3.06.P1.40,408,407
R1.15.R2.06.R3.10.P1.40,1061,1047
R1.15.R2.09.R3.34.P1.39,1690,1657
R1.15.R2.14.R3.49.P1.40,2880,2793
R1.15.R2.15.R3.47.P1.40,2039,1960
R1.15.R2.15.R3.59.P1.39,2889,2802
R1.15.R2.15.R3.84.P1.39,724,706
R1.15.R2.19.R3.10.P1.40,924,908
R1.15.R2.22.R3.18.P1.39,3482,3355
R1.15.R2.27.R3.81.P1.40,1190,1177
R1.15.R2.28.R3.43.P1.39,1391,1351
R1.15.R2.43.R3.86.P1.39,670,662
R1.15.R2.44.R3.88.P1.40,1121,1108
R1.15.R2.45.R3.72.P1.39,1741,1711
R1.15.R2.48.R3.58.P1.40,849,834
R1.15.R2.50.R3.78.P1.39,601,595
R1.15.R2.51.R3.38.P1.39,2120,2074
R1.15.R2.53.R3.52.P1.40,1857,1797
R1.15.R2.57.R3.64.P1.39,966,954
R1.15.R2.58.R3.47.P1.40,813,803
R1.15.R2.59.R3.24.P1.40,1688,1642
R1.15.R2.59.R3.58.P1.40,959,943
R1.15.R2.61.R3.52.P1.40,664,648
