cell,nCounts,nFeatures
"R1.16,R2.21,R3.51,P1.02",1836,1793
"R1.84,R2.11,R3.76,P1.03",4273,4079
"R1.07,R2.41,R3.58,P1.02",2933,2845
"R1.41,R2.68,R3.01,P1.03",8539,7724
"R1.14,R2.27,R3.19,P1.02",5271,5003
"R1.28,R2.29,R3.55,P1.02",2289,2240
"R1.42,R2.15,R3.48,P1.03",3888,3711
"R1.72,R2.68,R3.34,P1.02",1983,1953
"R1.61,R2.03,R3.30,P1.03",1609,1587
"R1.36,R2.71,R3.06,P1.02",2696,2608
"R1.79,R2.62,R3.29,P1.02",1741,1713
"R1.38,R2.36,R3.22,P1.03",10132,9055
"R1.48,R2.66,R3.55,P1.03",3298,3194
"R1.60,R2.68,R3.39,P1.02",4086,3891
"R1.72,R2.86,R3.89,P1.02",5220,4994
"R1.14,R2.72,R3.36,P1.03",1535,1514
"R1.19,R2.04,R3.59,P1.02",2164,2126
"R1.62,R2.17,R3.22,P1.03",3044,2957
"R1.23,R2.04,R3.56,P1.03",3711,3572
"R1.24,R2.44,R3.28,P1.03",7676,7411
"R1.39,R2.91,R3.08,P1.03",4189,4015
"R1.06,R2.13,R3.01,P1.03",9928,9037
"R1.26,R2.17,R3.14,P1.02",3150,3074
"R1.23,R2.61,R3.29,P1.02",3149,2963
"R1.96,R2.45,R3.93,P1.03",1002,996
"R1.59,R2.38,R3.04,P1.02",3534,3426
"R1.07,R2.73,R3.20,P1.02",1496,1482
"R1.40,R2.35,R3.16,P1.02",3778,3627
"R1.53,R2.48,R3.59,P1.02",11425,10302
"R1.62,R2.04,R3.30,P1.02",9567,8837
"R1.38,R2.35,R3.06,P1.02",487,484
"R1.52,R2.15,R3.12,P1.02",659,653
"R1.39,R2.37,R3.60,P1.03",9552,8617
"R1.68,R2.68,R3.83,P1.02",1720,1691
"R1.64,R2.46,R3.12,P1.02",1558,1527
"R1.60,R2.62,R3.57,P1.03",10218,9217
"R1.02,R2.01,R3.02,P1.02",6412,6025
"R1.75,R2.09,R3.47,P1.02",2240,2190
"R1.26,R2.03,R3.68,P1.02",2578,2507
"R1.56,R2.10,R3.19,P1.02",969,964
"R1.40,R2.51,R3.16,P1.02",5197,4912
"R1.14,R2.43,R3.81,P1.02",2460,2392
"R1.68,R2.10,R3.74,P1.03",1816,1770
"R1.75,R2.53,R3.93,P1.02",1422,1397
"R1.30,R2.37,R3.03,P1.02",12172,10757
"R1.64,R2.86,R3.25,P1.03",3957,3787
"R1.51,R2.17,R3.31,P1.03",1828,1790
"R1.19,R2.17,R3.95,P1.03",3489,3363
"R1.01,R2.24,R3.68,P1.03",2018,1971
"R1.38,R2.71,R3.72,P1.02",1840,1800
"R1.50,R2.41,R3.19,P1.03",5402,5150
"R1.51,R2.08,R3.16,P1.03",2968,2858
"R1.13,R2.18,R3.08,P1.03",29356,22627
"R1.30,R2.69,R3.88,P1.02",3908,3770
"R1.89,R2.37,R3.08,P1.03",2892,2824
"R1.11,R2.91,R3.36,P1.03",1897,1864
"R1.93,R2.79,R3.72,P1.03",3232,3079
