cell,nCounts,nFeatures
630,1723,878
631,6661,3056
632,8326,3400
633,2874,1418
634,1904,983
635,7925,3001
636,4978,2228
637,6893,2968
638,1408,776
639,1535,790
640,2857,1288
641,10250,3853
642,3192,1534
643,5168,2263
644,4309,1807
645,4790,1438
646,2330,1227
647,1646,998
648,2293,1300
649,12407,4467
650,1556,966
651,1163,695
652,2965,1585
653,2777,1534
654,3208,1485
655,8575,3908
656,1273,798
657,3701,1749
658,27633,9180
659,7494,3102
660,2876,1451
661,3064,1535
662,1675,936
663,2748,1227
664,961,553
665,2499,1310
666,2694,1337
667,10489,3974
668,2192,1119
669,7394,2784
670,3700,1894
671,1680,912
672,2331,1344
673,3207,1676
674,2876,1369
675,1609,869
676,1828,1010
677,2170,1099
678,1434,776
679,2334,1131
680,3863,1594
681,2367,1281
682,852,487
683,7105,2467
684,1696,952
685,3223,1407
686,3493,1561
687,2274,1164
688,4248,2025
689,12300,4375
690,6881,2839
691,796,500
692,2672,1261
693,2856,1251
694,1578,835
695,7383,2942
696,4203,1892
697,4369,2005
698,2361,1164
699,2685,1337
700,2555,1320
701,1714,910
702,3362,1655
703,1526,784
704,12701,4318
705,1120,621
706,6019,2751
707,7584,2788
708,1913,1003
709,2215,1127
710,2160,1114
711,1995,1073
712,9959,3232
713,7922,3128
714,1957,1087
715,1567,807
716,1461,762
717,1050,570
718,4900,2114
719,3921,1731
720,8172,3316
721,9977,3843
722,18772,5413
723,946,580
724,9525,3213
725,1373,760
726,3559,1626
727,3957,1852
728,8887,3170
729,3385,1597
730,2709,1354
731,667,346
732,1866,1049
733,3717,1780
734,5792,1908
735,2082,1129
736,1070,483
737,4018,1542
738,3256,1700
739,6222,2660
740,3787,1838
741,6840,2748
742,7986,3081
743,8287,3101
744,1645,890
745,3298,1572
746,6316,2543
747,893,543
748,13543,4099
749,7088,3165
750,3791,1825
751,3766,1805
752,4236,1986
753,3827,1828
754,2804,1565
755,3916,1853
756,2268,1358
757,8417,3523
758,2219,1383
759,4367,2184
760,913,517
761,1222,759
762,5849,2580
763,3576,1800
764,3349,1513
765,1646,1005
766,2171,1256
767,4423,2348
768,2616,1463
769,3446,1913
770,3406,1601
771,1782,974
772,1976,1070
773,1280,747
774,6046,2556
775,4550,2261
776,9856,3710
777,2220,1226
778,3748,1504
779,7778,3112
780,1969,766
781,1964,1051
782,1249,743
783,6837,2833
784,1506,853
785,4873,2241
786,3982,1824
787,3486,1811
788,5222,1844
789,2453,1195
790,2455,1285
791,778,434
792,3656,1723
793,1896,1074
794,6459,2387
795,6817,2968
796,1714,907
797,5070,2194
798,1519,770
799,5796,2284
800,1631,755
801,13374,4536
802,8075,3035
803,8384,3258
804,4694,2102
805,2068,1102
806,4169,1845
807,4886,2200
808,6083,2331
809,7274,3087
810,1176,643
811,3701,1711
812,1173,644
813,873,502
814,1439,730
815,4292,1871
816,10497,2818
817,1871,946
818,5219,2182
819,9785,3608
820,3981,1715
821,1747,738
822,7676,3149
823,7083,2407
824,5000,2032
825,4138,2063
826,7395,2990
827,4264,1910
828,1423,820
829,1351,642
830,11395,3940
831,8650,3195
832,5599,2471
833,970,516
834,1638,855
835,3517,1612
836,4665,1984
837,3442,1294
838,1860,990
839,4939,1892
840,5851,2435
841,9218,3347
842,4782,1937
843,11460,3843
844,1574,846
845,3388,1474
846,11252,3746
847,1762,907
848,3540,1677
849,9079,3392
850,1854,950
851,4353,1940
852,7653,3234
853,2831,1384
854,2216,1019
855,1156,623
856,3378,1329
857,4576,2046
858,7649,3028
859,825,471
860,2628,1273
861,2044,1003
862,1864,925
863,4912,2121
864,935,564
865,3585,1698
866,20631,5931
