cell,nCounts,nFeatures
"R1.35,R2.90,R3.28,P1.36",7135,6467
"R1.36,R2.46,R3.61,P1.35",7076,6365
"R1.60,R2.39,R3.21,P1.34",2122,2054
"R1.54,R2.04,R3.53,P1.35",810,800
"R1.44,R2.31,R3.77,P1.37",1020,993
"R1.57,R2.31,R3.28,P1.35",3653,3449
"R1.48,R2.17,R3.62,P1.36",4576,4211
"R1.60,R2.26,R3.24,P1.37",578,572
"R1.50,R2.84,R3.15,P1.36",5462,5063
"R1.41,R2.56,R3.33,P1.34",1217,1195
"R1.55,R2.83,R3.41,P1.36",915,900
"R1.50,R2.94,R3.61,P1.34",4666,4373
"R1.55,R2.77,R3.07,P1.34",2403,2341
"R1.33,R2.54,R3.58,P1.35",2745,2616
"R1.64,R2.31,R3.35,P1.35",603,595
"R1.36,R2.87,R3.55,P1.35",1071,1051
"R1.60,R2.77,R3.68,P1.35",3303,3107
"R1.50,R2.49,R3.70,P1.34",2708,2599
"R1.50,R2.76,R3.42,P1.34",3650,3451
"R1.56,R2.85,R3.65,P1.37",1358,1335
"R1.62,R2.96,R3.90,P1.35",1187,1164
"R1.34,R2.22,R3.29,P1.35",449,442
"R1.51,R2.77,R3.61,P1.37",2461,2353
"R1.42,R2.54,R3.17,P1.36",5029,4665
"R1.55,R2.09,R3.49,P1.37",822,809
"R1.52,R2.31,R3.01,P1.35",3643,3432
"R1.51,R2.94,R3.34,P1.31",1965,1900
"R1.48,R2.74,R3.65,P1.36",6554,5950
"R1.48,R2.66,R3.15,P1.37",6006,5473
"R1.46,R2.37,R3.46,P1.36",527,521
"R1.63,R2.15,R3.61,P1.33",2077,2013
"R1.59,R2.89,R3.87,P1.34",8033,7242
"R1.36,R2.29,R3.91,P1.37",881,861
"R1.55,R2.42,R3.06,P1.34",2437,2344
"R1.58,R2.50,R3.33,P1.36",5894,5353
"R1.35,R2.32,R3.27,P1.34",3246,3097
"R1.35,R2.01,R3.45,P1.32",480,476
"R1.40,R2.63,R3.64,P1.36",4141,3927
"R1.51,R2.41,R3.07,P1.34",280,272
"R1.56,R2.18,R3.61,P1.34",1242,1220
"R1.39,R2.54,R3.06,P1.34",1371,1343
"R1.48,R2.40,R3.64,P1.37",3233,3078
"R1.52,R2.37,R3.01,P1.35",8940,7759
"R1.36,R2.03,R3.75,P1.36",5566,5102
"R1.53,R2.09,R3.80,P1.34",3076,2948
"R1.33,R2.53,R3.61,P1.34",8315,7417
"R1.35,R2.67,R3.84,P1.36",1584,1545
"R1.41,R2.47,R3.43,P1.34",1609,1566
"R1.36,R2.51,R3.95,P1.35",2051,1982
"R1.55,R2.51,R3.72,P1.36",1587,1537
"R1.52,R2.03,R3.18,P1.35",8469,7567
"R1.35,R2.73,R3.61,P1.35",2325,2215
"R1.37,R2.78,R3.83,P1.32",554,546
"R1.47,R2.74,R3.14,P1.36",1979,1919
"R1.57,R2.49,R3.23,P1.32",1876,1808
"R1.39,R2.50,R3.73,P1.33",1437,1403
