cell,nCounts,nFeatures
"R1.37,R2.06,R3.17,P1.39",1292,980
"R1.37,R2.12,R3.31,P1.44",6392,3195
"R1.37,R2.15,R3.37,P1.45",373,338
"R1.37,R2.17,R3.01,P1.45",836,655
"R1.37,R2.18,R3.21,P1.41",2118,1523
"R1.37,R2.19,R3.12,P1.40",1667,1229
"R1.37,R2.19,R3.70,P1.40",993,792
"R1.37,R2.20,R3.01,P1.44",1457,1017
"R1.37,R2.23,R3.20,P1.44",1982,1443
"R1.37,R2.23,R3.48,P1.41",2760,1760
"R1.37,R2.25,R3.06,P1.40",394,357
"R1.37,R2.25,R3.79,P1.40",7832,3642
"R1.37,R2.27,R3.13,P1.41",3686,2225
"R1.37,R2.31,R3.73,P1.40",1243,948
"R1.37,R2.32,R3.86,P1.45",3140,2007
"R1.37,R2.33,R3.22,P1.43",3375,2118
"R1.37,R2.33,R3.22,P1.44",1501,1140
"R1.37,R2.36,R3.46,P1.44",790,651
"R1.37,R2.36,R3.70,P1.43",1587,1168
"R1.37,R2.37,R3.32,P1.42",3217,2020
"R1.37,R2.38,R3.53,P1.39",1325,939
"R1.37,R2.41,R3.91,P1.40",2688,1855
"R1.37,R2.42,R3.65,P1.41",20198,5966
"R1.37,R2.42,R3.91,P1.42",5668,2836
"R1.37,R2.43,R3.39,P1.42",590,461
"R1.37,R2.43,R3.64,P1.41",5388,2787
"R1.37,R2.45,R3.54,P1.40",2331,1594
"R1.37,R2.45,R3.75,P1.41",2479,1673
"R1.37,R2.47,R3.04,P1.44",1862,1393
"R1.37,R2.49,R3.02,P1.42",3478,2082
"R1.37,R2.49,R3.67,P1.43",2349,1549
"R1.37,R2.51,R3.65,P1.40",2344,1668
"R1.37,R2.52,R3.80,P1.42",2695,1753
"R1.37,R2.53,R3.17,P1.42",229,206
"R1.37,R2.55,R3.47,P1.40",4022,2302
"R1.37,R2.59,R3.01,P1.44",2067,1440
"R1.37,R2.60,R3.04,P1.40",1453,1000
"R1.37,R2.60,R3.19,P1.45",1094,856
"R1.37,R2.60,R3.39,P1.40",2451,1589
"R1.37,R2.61,R3.23,P1.42",5644,2922
"R1.37,R2.61,R3.87,P1.41",847,671
"R1.37,R2.62,R3.24,P1.44",1129,899
"R1.37,R2.62,R3.88,P1.43",2063,1471
"R1.37,R2.63,R3.49,P1.43",3009,1930
"R1.37,R2.65,R3.46,P1.41",1255,948
"R1.37,R2.66,R3.27,P1.45",1089,823
"R1.37,R2.67,R3.12,P1.44",3209,2090
"R1.37,R2.67,R3.95,P1.45",2078,1418
"R1.37,R2.69,R3.14,P1.41",4689,2712
"R1.37,R2.70,R3.26,P1.43",6148,3115
"R1.37,R2.70,R3.59,P1.45",1638,1205
"R1.37,R2.72,R3.94,P1.40",16771,5472
"R1.37,R2.75,R3.22,P1.43",1796,1355
"R1.37,R2.76,R3.34,P1.45",1645,1124
"R1.37,R2.78,R3.83,P1.40",3539,2195
"R1.37,R2.80,R3.94,P1.39",1198,980
"R1.37,R2.81,R3.18,P1.40",1652,1266
"R1.37,R2.83,R3.51,P1.43",6087,3216
"R1.37,R2.83,R3.65,P1.43",1042,804
"R1.37,R2.84,R3.80,P1.40",2606,1711
"R1.37,R2.85,R3.03,P1.43",2804,1779
"R1.37,R2.88,R3.56,P1.39",1292,1021
"R1.37,R2.89,R3.02,P1.41",2416,1571
"R1.37,R2.92,R3.82,P1.44",898,698
"R1.37,R2.93,R3.80,P1.42",1548,1141
"R1.37,R2.95,R3.88,P1.41",960,817
"R1.38,R2.02,R3.51,P1.43",979,756
"R1.38,R2.04,R3.75,P1.41",566,497
"R1.38,R2.05,R3.13,P1.40",2227,1451
"R1.38,R2.06,R3.48,P1.40",4455,2519
"R1.38,R2.06,R3.85,P1.39",8903,4064
"R1.38,R2.13,R3.30,P1.42",340,307
"R1.38,R2.13,R3.33,P1.42",2011,1374
"R1.38,R2.16,R3.60,P1.39",2178,1492
"R1.38,R2.16,R3.82,P1.40",3122,1957
"R1.38,R2.19,R3.85,P1.43",2322,1702
"R1.38,R2.20,R3.20,P1.40",7271,3533
"R1.38,R2.22,R3.76,P1.40",1073,839
"R1.38,R2.23,R3.04,P1.40",1030,817
"R1.38,R2.25,R3.33,P1.41",1336,1005
"R1.38,R2.27,R3.02,P1.43",2159,1508
"R1.38,R2.28,R3.15,P1.42",2852,1834
"R1.38,R2.29,R3.92,P1.44",1841,1298
"R1.38,R2.33,R3.28,P1.44",1806,1316
"R1.38,R2.34,R3.39,P1.39",1390,1079
"R1.38,R2.37,R3.50,P1.43",4904,2780
"R1.38,R2.40,R3.75,P1.43",1519,1137
"R1.38,R2.41,R3.35,P1.39",3395,2091
"R1.38,R2.41,R3.35,P1.43",2899,1808
"R1.38,R2.42,R3.71,P1.44",1317,1062
"R1.38,R2.44,R3.24,P1.39",2184,1516
"R1.38,R2.48,R3.87,P1.39",1838,1356
"R1.38,R2.49,R3.53,P1.40",754,615
"R1.38,R2.52,R3.48,P1.44",1492,1096
"R1.38,R2.53,R3.28,P1.40",3850,2198
"R1.38,R2.53,R3.39,P1.44",5823,3190
"R1.38,R2.53,R3.62,P1.45",3902,2227
"R1.38,R2.53,R3.68,P1.41",1967,1422
"R1.38,R2.60,R3.11,P1.44",1373,1143
"R1.38,R2.62,R3.05,P1.44",4655,2729
"R1.38,R2.62,R3.88,P1.44",2064,1461
"R1.38,R2.63,R3.48,P1.43",2176,1553
"R1.38,R2.64,R3.45,P1.44",1164,914
"R1.38,R2.64,R3.91,P1.43",1068,864
"R1.38,R2.69,R3.34,P1.45",2226,1534
"R1.38,R2.70,R3.70,P1.39",868,703
"R1.38,R2.71,R3.04,P1.45",1436,1042
"R1.38,R2.77,R3.90,P1.40",1530,1152
"R1.38,R2.79,R3.76,P1.40",1882,1313
"R1.38,R2.81,R3.47,P1.42",1409,956
"R1.38,R2.84,R3.74,P1.39",1158,901
"R1.38,R2.84,R3.86,P1.40",2963,1869
"R1.38,R2.90,R3.51,P1.39",467,401
"R1.38,R2.95,R3.29,P1.39",1894,1307
"R1.39,R2.01,R3.40,P1.43",2512,1699
"R1.39,R2.02,R3.08,P1.44",1805,1291
"R1.39,R2.05,R3.48,P1.42",5921,3040
"R1.39,R2.08,R3.41,P1.43",4440,2603
"R1.39,R2.10,R3.08,P1.42",12454,4735
"R1.39,R2.10,R3.10,P1.39",1012,795
"R1.39,R2.11,R3.03,P1.39",3355,2051
"R1.39,R2.11,R3.51,P1.45",2453,1730
"R1.39,R2.13,R3.16,P1.44",2785,1904
"R1.39,R2.13,R3.92,P1.40",7058,3402
"R1.39,R2.15,R3.75,P1.42",2822,1808
"R1.39,R2.16,R3.85,P1.40",2825,1820
"R1.39,R2.18,R3.49,P1.45",2911,1812
"R1.39,R2.19,R3.20,P1.43",2681,1750
"R1.39,R2.20,R3.27,P1.44",2139,1467
"R1.39,R2.20,R3.72,P1.42",3191,1913
"R1.39,R2.22,R3.93,P1.41",3309,2123
"R1.39,R2.23,R3.19,P1.44",283,258
"R1.39,R2.26,R3.07,P1.41",580,510
"R1.39,R2.26,R3.61,P1.41",1767,1269
"R1.39,R2.27,R3.79,P1.45",1186,932
"R1.39,R2.29,R3.48,P1.44",2105,1492
"R1.39,R2.30,R3.39,P1.45",2871,1858
"R1.39,R2.31,R3.06,P1.44",988,769
"R1.39,R2.32,R3.26,P1.39",1582,1184
"R1.39,R2.32,R3.65,P1.42",1618,1202
"R1.39,R2.33,R3.21,P1.45",1787,1321
"R1.39,R2.33,R3.25,P1.39",2029,1439
"R1.39,R2.34,R3.83,P1.40",2318,1498
"R1.39,R2.36,R3.02,P1.39",1980,1375
"R1.39,R2.37,R3.73,P1.42",2127,1403
"R1.39,R2.38,R3.80,P1.39",1969,1370
"R1.39,R2.40,R3.35,P1.43",984,816
"R1.39,R2.40,R3.47,P1.41",3454,2172
"R1.39,R2.40,R3.79,P1.43",5222,2796
"R1.39,R2.44,R3.71,P1.40",1086,888
"R1.39,R2.45,R3.91,P1.45",856,661
"R1.39,R2.50,R3.73,P1.41",3790,2232
"R1.39,R2.54,R3.06,P1.42",2984,1883
"R1.39,R2.54,R3.92,P1.39",1336,1016
"R1.39,R2.63,R3.70,P1.41",850,696
"R1.39,R2.64,R3.09,P1.40",1033,835
"R1.39,R2.65,R3.61,P1.43",1863,1303
"R1.39,R2.67,R3.76,P1.41",957,778
"R1.39,R2.68,R3.47,P1.43",2901,1854
"R1.39,R2.68,R3.54,P1.42",7067,3428
"R1.39,R2.71,R3.85,P1.41",1190,875
"R1.39,R2.72,R3.66,P1.42",2161,1522
"R1.39,R2.73,R3.56,P1.42",1045,816
"R1.39,R2.75,R3.68,P1.40",316,287
"R1.39,R2.76,R3.13,P1.45",1338,927
"R1.39,R2.83,R3.28,P1.45",481,404
"R1.39,R2.84,R3.53,P1.40",3127,1850
"R1.39,R2.85,R3.46,P1.43",2646,1780
"R1.39,R2.94,R3.49,P1.43",4218,2503
"R1.40,R2.04,R3.74,P1.39",785,648
"R1.40,R2.05,R3.23,P1.40",1517,1093
"R1.40,R2.05,R3.48,P1.40",1329,1070
"R1.40,R2.05,R3.88,P1.44",1349,1034
"R1.40,R2.06,R3.83,P1.39",1961,1397
"R1.40,R2.08,R3.78,P1.40",2088,1434
"R1.40,R2.09,R3.11,P1.40",2227,1604
"R1.40,R2.10,R3.91,P1.41",1129,902
"R1.40,R2.11,R3.59,P1.43",1237,937
"R1.40,R2.13,R3.04,P1.44",1793,1357
"R1.40,R2.13,R3.90,P1.43",4731,2670
"R1.40,R2.14,R3.73,P1.45",1221,949
"R1.40,R2.16,R3.16,P1.39",4226,2521
"R1.40,R2.16,R3.25,P1.39",1227,944
"R1.40,R2.16,R3.67,P1.42",4820,2709
"R1.40,R2.17,R3.45,P1.44",1546,1203
"R1.40,R2.17,R3.55,P1.42",2115,1538
"R1.40,R2.22,R3.04,P1.42",4156,2437
"R1.40,R2.23,R3.23,P1.42",666,572
"R1.40,R2.24,R3.16,P1.45",1373,1062
"R1.40,R2.24,R3.54,P1.45",1084,875
"R1.40,R2.27,R3.77,P1.43",981,812
"R1.40,R2.28,R3.20,P1.42",1989,1447
"R1.40,R2.28,R3.62,P1.42",1047,799
"R1.40,R2.32,R3.42,P1.39",3464,2134
"R1.40,R2.33,R3.03,P1.39",1246,964
"R1.40,R2.33,R3.18,P1.40",2569,1682
"R1.40,R2.34,R3.66,P1.40",4782,2578
"R1.40,R2.35,R3.14,P1.44",2481,1752
"R1.40,R2.38,R3.14,P1.39",1410,1005
"R1.40,R2.38,R3.43,P1.39",1376,1086
"R1.40,R2.40,R3.55,P1.44",2438,1690
"R1.40,R2.43,R3.45,P1.39",779,625
"R1.40,R2.48,R3.13,P1.40",5178,2839
"R1.40,R2.48,R3.17,P1.39",1178,970
"R1.40,R2.48,R3.51,P1.45",6685,3376
"R1.40,R2.50,R3.27,P1.39",2500,1621
