cell,nCounts,nFeatures
"R1.06,R2.51,R3.01,P1.40",4188,2219
"R1.06,R2.51,R3.66,P1.39",5200,2068
"R1.06,R2.66,R3.10,P1.39",3082,1382
"R1.06,R2.66,R3.76,P1.39",1932,1064
"R1.06,R2.68,R3.44,P1.39",8212,2491
"R1.06,R2.70,R3.90,P1.39",4820,1640
"R1.06,R2.72,R3.45,P1.40",3718,1676
"R1.06,R2.75,R3.88,P1.39",4228,1750
"R1.06,R2.83,R3.23,P1.40",3229,1502
"R1.06,R2.87,R3.02,P1.39",2072,1143
"R1.06,R2.87,R3.23,P1.40",3697,1944
"R1.06,R2.88,R3.30,P1.40",2226,1182
"R1.06,R2.88,R3.67,P1.39",2332,1386
"R1.06,R2.90,R3.75,P1.39",2596,1458
"R1.06,R2.91,R3.59,P1.40",16687,4306
"R1.06,R2.93,R3.56,P1.39",5636,2348
"R1.06,R2.93,R3.93,P1.40",2733,1313
"R1.07,R2.02,R3.26,P1.39",8627,3384
"R1.07,R2.05,R3.25,P1.39",5689,2590
"R1.07,R2.08,R3.56,P1.39",4579,1935
"R1.07,R2.10,R3.33,P1.40",2861,1336
"R1.07,R2.10,R3.83,P1.40",2944,1407
"R1.07,R2.11,R3.90,P1.40",3074,1532
"R1.07,R2.18,R3.15,P1.40",3912,1838
"R1.07,R2.18,R3.45,P1.39",2239,1178
"R1.07,R2.20,R3.71,P1.39",4846,1908
"R1.07,R2.21,R3.33,P1.39",271,222
"R1.07,R2.25,R3.91,P1.40",5145,2139
"R1.07,R2.30,R3.35,P1.39",4030,1638
"R1.07,R2.30,R3.49,P1.39",1825,1136
"R1.07,R2.30,R3.59,P1.39",7415,2846
"R1.07,R2.32,R3.83,P1.40",2759,1438
"R1.07,R2.35,R3.32,P1.39",5176,2019
"R1.07,R2.36,R3.56,P1.39",1290,881
"R1.07,R2.38,R3.86,P1.39",3280,1534
"R1.07,R2.39,R3.86,P1.39",1726,1063
"R1.07,R2.41,R3.14,P1.39",9024,3350
"R1.07,R2.41,R3.87,P1.39",441,354
"R1.07,R2.44,R3.29,P1.40",2915,1393
"R1.07,R2.51,R3.38,P1.40",2942,1656
"R1.07,R2.52,R3.61,P1.40",6438,2306
"R1.07,R2.58,R3.13,P1.39",3697,1735
"R1.07,R2.58,R3.65,P1.39",874,632
"R1.07,R2.63,R3.17,P1.40",13291,4083
"R1.07,R2.65,R3.29,P1.40",315,273
"R1.07,R2.68,R3.34,P1.39",5118,2003
"R1.07,R2.70,R3.79,P1.39",7538,2903
"R1.07,R2.73,R3.05,P1.40",8832,3132
"R1.07,R2.76,R3.70,P1.40",742,549
