cell,nCounts,nFeatures
"R1.05,R2.89,R3.72,P1.51",2017,1502
"R1.05,R2.91,R3.52,P1.50",3153,2105
"R1.05,R2.92,R3.65,P1.50",1116,908
"R1.05,R2.92,R3.76,P1.50",2353,1656
"R1.06,R2.01,R3.61,P1.50",3650,2058
"R1.06,R2.03,R3.94,P1.51",2611,1843
"R1.06,R2.04,R3.18,P1.50",2718,1874
"R1.06,R2.06,R3.42,P1.51",395,372
"R1.06,R2.07,R3.45,P1.50",3048,1972
"R1.06,R2.10,R3.07,P1.51",2515,1773
"R1.06,R2.13,R3.01,P1.51",5709,3292
"R1.06,R2.13,R3.68,P1.50",2562,1766
"R1.06,R2.14,R3.48,P1.50",2427,1670
"R1.06,R2.15,R3.28,P1.51",533,467
"R1.06,R2.16,R3.54,P1.50",3730,2341
"R1.06,R2.16,R3.73,P1.50",2494,1737
"R1.06,R2.16,R3.89,P1.51",416,387
"R1.06,R2.19,R3.03,P1.50",9337,4080
"R1.06,R2.20,R3.52,P1.50",4104,2523
"R1.06,R2.21,R3.02,P1.50",3100,2074
"R1.06,R2.21,R3.71,P1.50",2521,1817
"R1.06,R2.21,R3.76,P1.50",3512,2301
"R1.06,R2.23,R3.54,P1.50",4544,2469
"R1.06,R2.24,R3.71,P1.50",5780,3189
"R1.06,R2.25,R3.08,P1.51",1361,1108
"R1.06,R2.26,R3.01,P1.50",9239,4135
"R1.06,R2.26,R3.55,P1.50",2870,1791
"R1.06,R2.28,R3.30,P1.51",9484,4462
"R1.06,R2.29,R3.14,P1.50",2491,1657
"R1.06,R2.29,R3.34,P1.50",1831,1344
"R1.06,R2.29,R3.46,P1.51",483,440
"R1.06,R2.30,R3.34,P1.50",1438,1164
"R1.06,R2.33,R3.49,P1.50",5296,2993
"R1.06,R2.35,R3.37,P1.50",9577,4176
"R1.06,R2.36,R3.68,P1.51",2633,1868
"R1.06,R2.37,R3.15,P1.50",2415,1678
"R1.06,R2.39,R3.42,P1.50",23978,6571
"R1.06,R2.39,R3.42,P1.51",3491,2271
"R1.06,R2.43,R3.09,P1.50",3795,2363
"R1.06,R2.44,R3.35,P1.50",1804,1381
"R1.06,R2.44,R3.79,P1.50",7151,3675
"R1.06,R2.45,R3.45,P1.50",3774,2226
"R1.06,R2.47,R3.80,P1.50",5262,3021
"R1.06,R2.51,R3.36,P1.50",3738,2229
"R1.06,R2.52,R3.77,P1.51",1242,1050
"R1.06,R2.52,R3.83,P1.51",2385,1711
"R1.06,R2.54,R3.04,P1.50",3925,2323
"R1.06,R2.56,R3.84,P1.51",1463,1191
"R1.06,R2.62,R3.81,P1.50",2652,1705
"R1.06,R2.63,R3.40,P1.50",3643,2037
"R1.06,R2.63,R3.83,P1.51",1748,1277
"R1.06,R2.64,R3.35,P1.50",1360,1109
"R1.06,R2.64,R3.57,P1.50",346,323
"R1.06,R2.66,R3.71,P1.50",2569,1803
"R1.06,R2.67,R3.04,P1.50",521,478
"R1.06,R2.67,R3.13,P1.51",3502,2285
"R1.06,R2.68,R3.14,P1.50",2406,1744
"R1.06,R2.68,R3.14,P1.51",3811,2384
"R1.06,R2.68,R3.93,P1.50",2186,1431
"R1.06,R2.70,R3.02,P1.51",2388,1701
