cell,nCounts,nFeatures
"R1.65,R2.51,R3.38,P1.41",344,291
"R1.65,R2.51,R3.58,P1.43",120,106
"R1.65,R2.51,R3.69,P1.39",387,338
"R1.65,R2.51,R3.94,P1.42",203,173
"R1.65,R2.52,R3.72,P1.42",243,222
"R1.65,R2.53,R3.17,P1.43",371,313
"R1.65,R2.53,R3.67,P1.39",248,212
"R1.65,R2.54,R3.18,P1.40",164,140
"R1.65,R2.54,R3.35,P1.41",255,222
"R1.65,R2.54,R3.59,P1.45",120,108
"R1.65,R2.55,R3.72,P1.45",278,236
"R1.65,R2.56,R3.65,P1.42",322,269
"R1.65,R2.56,R3.80,P1.40",201,181
"R1.65,R2.57,R3.06,P1.45",166,75
"R1.65,R2.57,R3.23,P1.43",120,106
"R1.65,R2.57,R3.26,P1.44",276,239
"R1.65,R2.57,R3.44,P1.42",283,237
"R1.65,R2.57,R3.53,P1.45",144,68
"R1.65,R2.58,R3.08,P1.40",175,111
"R1.65,R2.58,R3.09,P1.43",446,371
"R1.65,R2.58,R3.17,P1.39",174,158
"R1.65,R2.58,R3.39,P1.45",160,130
"R1.65,R2.58,R3.51,P1.44",269,235
"R1.65,R2.58,R3.89,P1.43",156,129
"R1.65,R2.59,R3.02,P1.44",570,488
"R1.65,R2.59,R3.14,P1.44",477,413
"R1.65,R2.59,R3.91,P1.45",177,143
"R1.65,R2.59,R3.94,P1.45",183,141
"R1.65,R2.60,R3.18,P1.45",167,69
"R1.65,R2.60,R3.21,P1.43",284,249
"R1.65,R2.60,R3.25,P1.41",169,151
"R1.65,R2.61,R3.04,P1.39",167,144
"R1.65,R2.61,R3.24,P1.41",345,287
"R1.65,R2.61,R3.54,P1.39",342,294
"R1.65,R2.62,R3.42,P1.39",232,203
"R1.65,R2.63,R3.29,P1.41",195,178
"R1.65,R2.63,R3.37,P1.45",180,159
"R1.65,R2.63,R3.79,P1.43",476,375
"R1.65,R2.63,R3.86,P1.43",125,76
"R1.65,R2.64,R3.26,P1.43",245,215
"R1.65,R2.64,R3.58,P1.39",214,186
"R1.65,R2.64,R3.71,P1.42",303,269
"R1.65,R2.64,R3.76,P1.45",196,81
"R1.65,R2.66,R3.08,P1.41",158,141
"R1.65,R2.67,R3.24,P1.44",237,206
"R1.65,R2.67,R3.44,P1.40",400,334
"R1.65,R2.67,R3.67,P1.44",265,232
"R1.65,R2.68,R3.75,P1.40",159,146
"R1.65,R2.68,R3.82,P1.42",184,165
"R1.65,R2.69,R3.17,P1.45",389,321
"R1.65,R2.69,R3.31,P1.42",547,439
"R1.65,R2.69,R3.86,P1.42",330,285
"R1.65,R2.69,R3.89,P1.40",263,239
"R1.65,R2.69,R3.90,P1.42",367,320
"R1.65,R2.70,R3.26,P1.40",353,310
"R1.65,R2.70,R3.36,P1.39",226,197
"R1.65,R2.71,R3.29,P1.41",192,130
"R1.65,R2.71,R3.61,P1.40",715,570
"R1.65,R2.72,R3.42,P1.40",260,229
"R1.65,R2.72,R3.95,P1.43",305,254
"R1.65,R2.73,R3.07,P1.43",473,381
"R1.65,R2.73,R3.22,P1.42",294,268
"R1.65,R2.74,R3.19,P1.42",261,220
"R1.65,R2.74,R3.43,P1.39",181,155
"R1.65,R2.75,R3.04,P1.44",123,84
"R1.65,R2.76,R3.35,P1.45",361,306
"R1.65,R2.76,R3.38,P1.41",239,206
"R1.65,R2.76,R3.51,P1.39",239,200
"R1.65,R2.76,R3.54,P1.44",344,305
"R1.65,R2.76,R3.80,P1.42",242,212
"R1.65,R2.77,R3.27,P1.39",363,294
"R1.65,R2.77,R3.30,P1.39",213,147
"R1.65,R2.77,R3.64,P1.39",189,165
"R1.65,R2.77,R3.71,P1.42",674,555
"R1.65,R2.77,R3.78,P1.42",241,215
"R1.65,R2.79,R3.40,P1.39",230,198
"R1.65,R2.79,R3.87,P1.39",204,174
"R1.65,R2.80,R3.14,P1.44",256,221
"R1.65,R2.80,R3.74,P1.41",395,318
"R1.65,R2.80,R3.83,P1.42",299,266
"R1.65,R2.80,R3.83,P1.44",275,248
"R1.65,R2.81,R3.07,P1.45",216,192
"R1.65,R2.81,R3.85,P1.43",255,227
"R1.65,R2.82,R3.17,P1.42",183,163
"R1.65,R2.82,R3.49,P1.42",240,205
"R1.65,R2.82,R3.56,P1.40",216,196
"R1.65,R2.83,R3.90,P1.39",348,292
"R1.65,R2.84,R3.14,P1.41",132,78
"R1.65,R2.84,R3.95,P1.45",322,269
"R1.65,R2.85,R3.38,P1.44",155,100
"R1.65,R2.85,R3.39,P1.44",381,325
"R1.65,R2.87,R3.08,P1.44",306,270
"R1.65,R2.87,R3.69,P1.42",200,173
"R1.65,R2.88,R3.09,P1.40",184,158
"R1.65,R2.88,R3.13,P1.45",228,201
"R1.65,R2.88,R3.27,P1.42",202,171
"R1.65,R2.88,R3.82,P1.39",236,202
"R1.65,R2.89,R3.01,P1.40",475,390
"R1.65,R2.90,R3.53,P1.43",211,177
"R1.65,R2.91,R3.18,P1.41",175,152
"R1.65,R2.91,R3.48,P1.43",234,203
"R1.65,R2.91,R3.72,P1.40",250,216
"R1.65,R2.92,R3.06,P1.42",282,239
"R1.65,R2.92,R3.37,P1.41",324,281
"R1.65,R2.93,R3.37,P1.40",310,273
"R1.65,R2.93,R3.43,P1.44",215,180
"R1.65,R2.93,R3.56,P1.41",245,213
"R1.65,R2.94,R3.36,P1.43",295,263
"R1.65,R2.94,R3.57,P1.39",140,117
"R1.65,R2.94,R3.61,P1.45",128,119
"R1.65,R2.94,R3.75,P1.44",143,129
"R1.65,R2.94,R3.82,P1.42",131,118
"R1.65,R2.95,R3.45,P1.40",132,120
"R1.65,R2.96,R3.51,P1.42",340,290
"R1.66,R2.01,R3.38,P1.42",398,338
"R1.66,R2.02,R3.11,P1.45",143,124
"R1.66,R2.03,R3.56,P1.42",339,295
"R1.66,R2.03,R3.76,P1.39",177,159
"R1.66,R2.03,R3.82,P1.45",208,179
"R1.66,R2.04,R3.22,P1.43",295,244
"R1.66,R2.05,R3.25,P1.39",125,110
"R1.66,R2.05,R3.25,P1.43",214,189
"R1.66,R2.05,R3.54,P1.40",375,319
"R1.66,R2.05,R3.72,P1.44",251,211
"R1.66,R2.05,R3.73,P1.40",153,139
"R1.66,R2.06,R3.05,P1.45",147,136
"R1.66,R2.06,R3.30,P1.44",280,239
"R1.66,R2.06,R3.39,P1.41",169,139
"R1.66,R2.06,R3.52,P1.41",223,190
"R1.66,R2.06,R3.69,P1.44",148,130
"R1.66,R2.06,R3.92,P1.43",262,216
"R1.66,R2.07,R3.09,P1.39",166,148
"R1.66,R2.07,R3.20,P1.43",429,363
"R1.66,R2.07,R3.36,P1.43",309,267
"R1.66,R2.07,R3.38,P1.42",274,240
"R1.66,R2.07,R3.81,P1.39",216,193
"R1.66,R2.08,R3.32,P1.45",171,140
"R1.66,R2.08,R3.49,P1.44",462,382
"R1.66,R2.08,R3.53,P1.43",218,190
"R1.66,R2.09,R3.69,P1.39",335,289
"R1.66,R2.09,R3.75,P1.41",311,254
"R1.66,R2.09,R3.86,P1.43",233,188
"R1.66,R2.10,R3.04,P1.42",156,101
"R1.66,R2.10,R3.71,P1.45",129,119
"R1.66,R2.11,R3.17,P1.43",469,402
"R1.66,R2.11,R3.27,P1.45",211,179
"R1.66,R2.13,R3.03,P1.39",587,481
"R1.66,R2.13,R3.10,P1.40",398,330
"R1.66,R2.13,R3.32,P1.43",311,265
"R1.66,R2.13,R3.35,P1.43",284,236
"R1.66,R2.13,R3.40,P1.40",209,189
"R1.66,R2.13,R3.94,P1.40",510,421
"R1.66,R2.14,R3.16,P1.40",855,657
"R1.66,R2.14,R3.27,P1.44",147,134
"R1.66,R2.14,R3.76,P1.40",244,202
"R1.66,R2.15,R3.79,P1.39",351,301
"R1.66,R2.16,R3.18,P1.45",176,79
"R1.66,R2.16,R3.33,P1.44",122,75
"R1.66,R2.16,R3.45,P1.42",195,173
"R1.66,R2.16,R3.51,P1.43",159,134
"R1.66,R2.16,R3.60,P1.41",207,179
"R1.66,R2.16,R3.91,P1.40",146,131
"R1.66,R2.17,R3.07,P1.39",202,166
"R1.66,R2.17,R3.15,P1.40",289,253
"R1.66,R2.17,R3.21,P1.39",215,166
"R1.66,R2.17,R3.44,P1.45",153,135
"R1.66,R2.17,R3.56,P1.45",195,165
"R1.66,R2.18,R3.47,P1.45",409,337
"R1.66,R2.19,R3.52,P1.42",146,122
"R1.66,R2.19,R3.64,P1.42",246,208
"R1.66,R2.19,R3.78,P1.40",289,263
"R1.66,R2.20,R3.24,P1.42",349,276
"R1.66,R2.20,R3.57,P1.40",213,175
"R1.66,R2.20,R3.64,P1.45",246,215
"R1.66,R2.21,R3.08,P1.40",360,299
"R1.66,R2.21,R3.08,P1.42",316,269
"R1.66,R2.21,R3.51,P1.45",153,139
"R1.66,R2.21,R3.67,P1.41",239,212
"R1.66,R2.21,R3.74,P1.39",242,210
"R1.66,R2.23,R3.20,P1.44",159,96
"R1.66,R2.23,R3.59,P1.45",128,108
"R1.66,R2.23,R3.68,P1.40",165,146
"R1.66,R2.23,R3.83,P1.40",416,340
"R1.66,R2.24,R3.03,P1.45",168,139
"R1.66,R2.24,R3.47,P1.40",233,200
"R1.66,R2.24,R3.91,P1.43",144,131
"R1.66,R2.25,R3.11,P1.41",398,333
"R1.66,R2.25,R3.18,P1.42",308,261
"R1.66,R2.25,R3.18,P1.45",294,241
"R1.66,R2.25,R3.22,P1.44",122,106
"R1.66,R2.25,R3.41,P1.45",240,92
"R1.66,R2.25,R3.45,P1.43",228,190
"R1.66,R2.25,R3.75,P1.42",290,241
"R1.66,R2.25,R3.79,P1.45",293,242
"R1.66,R2.25,R3.85,P1.43",353,291
"R1.66,R2.26,R3.56,P1.42",499,426
"R1.66,R2.26,R3.68,P1.42",207,171
"R1.66,R2.27,R3.43,P1.45",243,203
"R1.66,R2.27,R3.56,P1.44",206,121
"R1.66,R2.27,R3.83,P1.44",455,388
"R1.66,R2.28,R3.21,P1.45",191,165
"R1.66,R2.28,R3.24,P1.42",254,210
"R1.66,R2.29,R3.82,P1.40",233,203
"R1.66,R2.29,R3.93,P1.45",296,246
"R1.66,R2.30,R3.53,P1.41",235,200
"R1.66,R2.31,R3.20,P1.43",1025,779
"R1.66,R2.31,R3.22,P1.42",201,184
"R1.66,R2.32,R3.30,P1.39",296,265
"R1.66,R2.32,R3.47,P1.42",182,161
"R1.66,R2.32,R3.68,P1.39",180,157
"R1.66,R2.32,R3.82,P1.44",178,164
"R1.66,R2.32,R3.93,P1.43",345,298
"R1.66,R2.33,R3.01,P1.44",129,81
"R1.66,R2.33,R3.05,P1.44",220,200
"R1.66,R2.33,R3.19,P1.44",171,111
"R1.66,R2.33,R3.27,P1.42",251,218
"R1.66,R2.33,R3.49,P1.42",236,205
"R1.66,R2.34,R3.31,P1.39",156,128
"R1.66,R2.34,R3.70,P1.39",154,104
"R1.66,R2.35,R3.07,P1.43",339,291
"R1.66,R2.35,R3.37,P1.42",209,180
"R1.66,R2.36,R3.26,P1.44",243,210
"R1.66,R2.36,R3.59,P1.41",222,194
"R1.66,R2.36,R3.64,P1.43",302,151
"R1.66,R2.37,R3.44,P1.44",236,203
"R1.66,R2.37,R3.51,P1.42",339,295
"R1.66,R2.37,R3.68,P1.42",430,370
"R1.66,R2.38,R3.15,P1.43",195,170
"R1.66,R2.38,R3.57,P1.40",169,150
