cell,nCounts,nFeatures
"R1.74,R2.95,R3.07,P1.34",296,292
"R1.78,R2.02,R3.17,P1.33",280,278
"R1.68,R2.31,R3.42,P1.34",522,506
"R1.68,R2.34,R3.85,P1.35",648,640
"R1.84,R2.34,R3.25,P1.33",224,223
"R1.88,R2.47,R3.22,P1.36",191,190
"R1.71,R2.11,R3.66,P1.34",347,344
"R1.79,R2.53,R3.23,P1.37",1177,1142
"R1.81,R2.16,R3.51,P1.33",429,419
"R1.72,R2.10,R3.13,P1.33",912,887
"R1.66,R2.13,R3.03,P1.31",709,695
"R1.90,R2.32,R3.11,P1.37",872,854
"R1.76,R2.84,R3.88,P1.31",198,198
"R1.70,R2.42,R3.79,P1.36",798,778
"R1.83,R2.24,R3.94,P1.34",521,512
"R1.89,R2.22,R3.16,P1.36",1912,1806
"R1.87,R2.10,R3.36,P1.36",507,502
"R1.84,R2.24,R3.03,P1.34",539,522
"R1.81,R2.22,R3.67,P1.33",273,265
"R1.89,R2.13,R3.07,P1.34",469,457
"R1.70,R2.33,R3.85,P1.36",283,278
"R1.83,R2.28,R3.21,P1.31",220,217
"R1.76,R2.03,R3.48,P1.34",191,188
"R1.90,R2.20,R3.50,P1.35",352,350
"R1.84,R2.86,R3.11,P1.33",338,333
"R1.76,R2.79,R3.64,P1.36",340,338
"R1.75,R2.03,R3.65,P1.33",283,280
"R1.73,R2.63,R3.88,P1.37",303,302
"R1.83,R2.81,R3.29,P1.33",210,210
"R1.84,R2.89,R3.84,P1.35",268,266
"R1.76,R2.05,R3.74,P1.35",426,421
"R1.79,R2.12,R3.74,P1.34",675,657
"R1.83,R2.22,R3.50,P1.31",258,256
"R1.66,R2.61,R3.02,P1.31",244,242
"R1.89,R2.05,R3.88,P1.36",287,282
"R1.87,R2.12,R3.30,P1.35",577,565
"R1.82,R2.79,R3.58,P1.36",671,661
"R1.76,R2.07,R3.77,P1.33",179,176
"R1.73,R2.12,R3.57,P1.33",308,302
"R1.90,R2.32,R3.43,P1.34",250,246
"R1.85,R2.34,R3.89,P1.34",307,302
"R1.70,R2.15,R3.16,P1.35",195,191
"R1.71,R2.39,R3.22,P1.33",188,185
"R1.95,R2.84,R3.13,P1.35",259,255
"R1.76,R2.54,R3.08,P1.36",706,692
"R1.85,R2.53,R3.78,P1.31",211,210
"R1.82,R2.09,R3.90,P1.34",1299,1234
"R1.79,R2.46,R3.02,P1.33",265,262
"R1.85,R2.23,R3.93,P1.33",1102,1067
"R1.66,R2.25,R3.18,P1.34",233,232
"R1.67,R2.94,R3.42,P1.37",336,333
"R1.84,R2.55,R3.08,P1.36",463,456
"R1.68,R2.15,R3.93,P1.35",396,394
"R1.85,R2.69,R3.81,P1.37",560,552
"R1.71,R2.12,R3.83,P1.34",678,660
"R1.76,R2.69,R3.04,P1.37",395,393
"R1.82,R2.09,R3.75,P1.36",278,276
"R1.82,R2.04,R3.92,P1.33",403,400
"R1.70,R2.51,R3.56,P1.34",495,487
"R1.90,R2.03,R3.06,P1.33",1261,1226
"R1.90,R2.62,R3.67,P1.33",608,596
"R1.73,R2.04,R3.46,P1.35",428,424
"R1.65,R2.19,R3.92,P1.31",249,247
"R1.79,R2.52,R3.50,P1.33",366,360
"R1.95,R2.61,R3.15,P1.31",162,162
"R1.78,R2.53,R3.80,P1.34",314,311
"R1.77,R2.73,R3.21,P1.36",203,201
"R1.80,R2.37,R3.26,P1.34",1116,1080
"R1.86,R2.37,R3.45,P1.37",308,302
"R1.83,R2.41,R3.31,P1.36",556,549
"R1.84,R2.10,R3.54,P1.35",1624,1549
"R1.78,R2.68,R3.17,P1.34",296,294
"R1.82,R2.36,R3.69,P1.36",570,555
"R1.96,R2.04,R3.17,P1.33",288,285
"R1.89,R2.32,R3.89,P1.34",224,223
"R1.81,R2.07,R3.17,P1.34",292,291
"R1.81,R2.04,R3.26,P1.31",210,210
"R1.75,R2.61,R3.08,P1.36",606,598
"R1.67,R2.01,R3.20,P1.36",2788,2580
"R1.88,R2.33,R3.89,P1.34",582,569
"R1.79,R2.11,R3.20,P1.35",167,167
"R1.66,R2.27,R3.83,P1.36",490,484
"R1.84,R2.17,R3.58,P1.33",410,408
"R1.75,R2.46,R3.22,P1.36",394,388
"R1.84,R2.42,R3.29,P1.33",381,380
"R1.90,R2.15,R3.20,P1.31",276,272
"R1.81,R2.07,R3.29,P1.31",295,294
"R1.72,R2.29,R3.67,P1.36",181,179
"R1.90,R2.63,R3.93,P1.31",289,287
"R1.73,R2.14,R3.43,P1.35",288,287
"R1.91,R2.61,R3.49,P1.36",647,633
